,subj,roi,cond,depth,radius_band,accuracy,nVoxels
311,pnr510,V1_tgt_lh_rad10_filled_deveined,sur,middle,6-May,0.254448718,10
312,pnr510,V1_tgt_lh_rad10_filled_deveined,iso0,superficial,0-1,0.333692308,10
313,pnr510,V1_tgt_lh_rad10_filled_deveined,sur,superficial,0-1,0.333628205,10
314,pnr510,V1_tgt_lh_rad10_filled_deveined,iso0,superficial,2-Jan,0.327692308,10
315,pnr510,V1_tgt_lh_rad10_filled_deveined,sur,superficial,2-Jan,0.339807692,10
316,pnr510,V1_tgt_lh_rad10_filled_deveined,iso0,superficial,3-Feb,0.273653846,10
317,pnr510,V1_tgt_lh_rad10_filled_deveined,sur,superficial,3-Feb,0.283653846,10
318,pnr510,V1_tgt_lh_rad10_filled_deveined,iso0,superficial,4-Mar,0.268833333,10
319,pnr510,V1_tgt_lh_rad10_filled_deveined,sur,superficial,4-Mar,0.251589744,10
320,pnr510,V1_tgt_lh_rad10_filled_deveined,iso0,superficial,5-Apr,0.261423077,10
321,pnr510,V1_tgt_lh_rad10_filled_deveined,sur,superficial,5-Apr,0.262089744,10
322,pnr510,V1_tgt_lh_rad10_filled_deveined,iso0,superficial,6-May,0.265294872,10
323,pnr510,V1_tgt_lh_rad10_filled_deveined,sur,superficial,6-May,0.291551282,10
360,pnr579,V1_tgt_lh_rad10_filled_deveined,iso0,deep,0-1,0.296794872,10
361,pnr579,V1_tgt_lh_rad10_filled_deveined,sur,deep,0-1,0.250641026,10
362,pnr579,V1_tgt_lh_rad10_filled_deveined,iso0,deep,2-Jan,0.247371795,10
363,pnr579,V1_tgt_lh_rad10_filled_deveined,sur,deep,2-Jan,0.291807692,10
364,pnr579,V1_tgt_lh_rad10_filled_deveined,iso0,deep,3-Feb,0.252294872,10
365,pnr579,V1_tgt_lh_rad10_filled_deveined,sur,deep,3-Feb,0.255179487,10
366,pnr579,V1_tgt_lh_rad10_filled_deveined,iso0,deep,4-Mar,0.232179487,10
367,pnr579,V1_tgt_lh_rad10_filled_deveined,sur,deep,4-Mar,0.268423077,10
368,pnr579,V1_tgt_lh_rad10_filled_deveined,iso0,deep,5-Apr,0.259461538,10
369,pnr579,V1_tgt_lh_rad10_filled_deveined,sur,deep,5-Apr,0.236384615,10
370,pnr579,V1_tgt_lh_rad10_filled_deveined,iso0,deep,6-May,0.241230769,10
371,pnr579,V1_tgt_lh_rad10_filled_deveined,sur,deep,6-May,0.24174359,10
372,pnr579,V1_tgt_lh_rad10_filled_deveined,iso0,middle,0-1,0.312179487,9
373,pnr579,V1_tgt_lh_rad10_filled_deveined,sur,middle,0-1,0.359615385,9
374,pnr579,V1_tgt_lh_rad10_filled_deveined,iso0,middle,2-Jan,0.296551282,10
375,pnr579,V1_tgt_lh_rad10_filled_deveined,sur,middle,2-Jan,0.255974359,10
