x,y,z,d,xv,yv,zv,scale_xy_dist,t1,snr,acf_fwhm,orth,iso0,iso90,sur,task all,task F,task p-val,stdev_xerrts,0,23,45,67,90,112,135,157,NULL,theta all,theta F,tgt_theta p-val,sur,ctr,ctr-sur,ctr-sur F,loc p-val,sur_unwarp,ctr_unwarp,ctr-sur_unwarp,ctr-sur_unwarp F,polar_angle,eccentricity
0.33,10.26,0.00,0.73,97.00,178.00,18.00,nan,62.00,20.17,0.67,2.87121749,2.86203170,2.39542127,1.49765205,2.40658069,26.58390617,0.00000031,4.88,3.14354515,2.53772807,2.19145274,3.32250786,2.13852739,3.12566590,3.06010175,2.39083028,1.53634882,2.60258460,30.36599541,0.00000005,-0.72434640,-1.72948420,-1.00513792,22.99520302,0.00000263,11.84708023,9.89289856,-1.95418119,6.45215178,nan,nan,
1.29,9.81,0.00,0.77,97.00,178.00,19.00,nan,42.00,13.69,0.67,0.61571819,0.09416560,0.53157538,0.08176260,0.33080542,0.37004268,0.54312922,5.68,-2.09624028,0.04094497,1.93161774,-1.53147495,1.69769633,1.00400591,0.57985073,1.24211061,-0.08168522,0.30933768,0.32226971,0.57038427,-1.00151217,-1.89631438,-0.89480215,14.74129772,0.00015230,-13.31660175,-15.03277588,-1.71617436,2.45350528,nan,nan,
1.45,9.82,18.00,0.86,97.00,178.00,20.00,nan,54.00,12.56,0.75,0.69578004,-0.33505458,0.15521677,-0.94417906,-0.10705921,0.03166658,0.85880008,6.29,0.61273283,1.03064609,0.04479014,0.09648151,-0.63119382,0.02224950,1.94093978,-1.45254028,-0.85507864,0.08980200,0.02187251,0.88245893,-1.44359529,-2.07941628,-0.63582104,6.32505560,0.01246073,-6.94172955,-7.54186344,-0.60013360,0.26306114,nan,nan,
0.86,10.24,19.00,0.86,97.00,179.00,19.00,nan,46.00,11.13,0.68,2.04522347,2.98095536,4.06965399,3.39111590,3.12173724,17.51138496,0.00003126,7.79,3.73164058,3.32010770,4.26965714,1.09393442,2.48326755,4.25908756,2.16320014,2.41062808,3.29500055,2.99994421,15.79645920,0.00007601,-0.50155365,-1.08255339,-0.58099979,5.90070915,0.01575965,11.32549000,9.37095356,-1.95453715,1.30980718,nan,nan,
9.78,-2.03,0.00,0.75,98.00,160.00,20.00,nan,56.00,18.20,0.66,3.55462837,2.47343016,3.56827426,3.24547005,3.21045065,43.74731445,0.00000000,5.07,2.18058968,4.21733427,2.63688087,3.12025166,2.16412711,4.56547403,1.66539454,5.12216616,3.17028785,3.20151830,43.14160538,0.00000000,-2.28376293,-5.60992384,-3.32616091,123.50817108,0.00000000,-6.28886604,-9.19208908,-2.90322328,15.84420204,nan,nan,
9.85,-1.89,0.00,0.71,98.00,160.00,21.00,nan,115.00,15.26,0.64,3.95528698,3.48015380,3.37384677,2.93055654,3.43496108,42.62583923,0.00000000,5.50,3.37612510,5.50082588,3.16117430,4.62806559,1.85054159,4.24162436,3.21094251,3.34289217,2.99816394,3.58644962,45.85293579,0.00000000,-1.65026760,-5.38364220,-3.73337460,124.49069977,0.00000000,3.15409398,-0.00019609,-3.15428996,14.87926865,nan,nan,
9.90,-1.68,19.00,0.77,98.00,160.00,22.00,nan,152.00,11.71,0.64,9.95920086,9.30935001,9.92941570,10.05849075,9.81411457,170.18666077,0.00000000,7.86,9.43674374,7.71104860,12.47682953,9.81805992,9.69329453,9.33600998,7.75413513,11.28664303,9.93952179,9.70720387,164.32348633,0.00000000,-0.86361343,-4.95475674,-4.09114313,123.09817505,0.00000000,0.72387457,-7.13677406,-7.86064863,37.31092834,nan,nan,
9.55,-1.80,18.00,0.79,98.00,161.00,20.00,nan,70.00,12.83,0.66,1.68970978,3.07435751,2.64724851,3.30756903,2.67972112,17.19470215,0.00003682,6.75,4.41364384,3.52544498,2.31662631,1.49713564,1.43365836,3.36281419,3.40803432,-0.19902900,3.38415933,2.56881618,15.60685444,0.00008389,-1.92780185,-5.31029415,-3.38249230,127.43454742,0.00000000,4.04948807,-0.25940761,-4.30889559,18.33627510,nan,nan,
9.53,-1.53,0.00,0.74,98.00,161.00,21.00,nan,119.00,13.82,0.66,8.69796944,6.52073860,6.96326733,8.01814556,7.55003023,131.49630737,0.00000000,6.88,6.25547457,6.13856745,10.01297283,6.90071440,6.00988579,8.90563869,7.92096043,7.16056919,7.93393230,7.46349764,126.15747833,0.00000000,-1.60159719,-5.53863430,-3.93703699,132.11224365,0.00000000,2.36725307,-0.20221315,-2.56946611,5.92058992,nan,nan,
9.62,-1.27,0.00,0.59,98.00,161.00,22.00,nan,152.00,10.07,0.70,9.23575306,8.61183929,9.71782684,10.04081821,9.40155983,123.00096893,0.00000000,8.86,13.29458523,10.51827621,9.91314888,7.17740440,8.17248535,7.57597923,8.75580311,7.77650595,10.17878819,9.25329018,118.21291351,0.00000000,-1.08118927,-5.43290567,-4.35171652,131.07815552,0.00000000,3.80610800,-4.03837872,-7.84448719,27.64081573,nan,nan,
9.85,-1.39,17.00,0.62,98.00,161.00,23.00,nan,169.00,9.09,0.78,12.13846588,12.86810207,11.05747604,9.86254311,11.48164654,81.98426056,0.00000000,13.25,8.61832809,15.24405384,13.49859715,12.57905483,11.43353176,11.86148643,7.82055950,15.15291691,9.77723885,11.76442051,84.97126007,0.00000000,-0.83664733,-5.32941389,-4.49276638,128.42658997,0.00000000,2.36449146,-1.49076104,-3.85525250,6.28494740,nan,nan,
9.26,-0.79,21.00,0.55,98.00,162.00,22.00,nan,150.00,10.06,0.77,9.15138054,6.28083992,9.30558968,8.77667332,8.37862110,130.77136230,0.00000000,7.65,6.65851784,8.62725925,9.14620113,6.44213867,5.65218687,8.43492794,10.75023651,9.95409393,8.65018559,8.24904823,124.24060059,0.00000000,-1.60078728,-6.44920778,-4.84842062,141.88801575,0.00000000,-12.07494831,-21.88872337,-9.81377506,50.43333817,nan,nan,
