x,y,z,d,xv,yv,zv,scale_xy_dist,t1,snr,acf_fwhm,orth,iso0,iso90,sur,task all,task F,task p-val,stdev_xerrts,0,23,45,67,90,112,135,157,NULL,theta all,theta F,tgt_theta p-val,sur,ctr,ctr-sur,ctr-sur F,loc p-val,sur_unwarp,ctr_unwarp,ctr-sur_unwarp,ctr-sur_unwarp F,polar_angle,eccentricity
-7.78,5.18,19.00,0.83,109.00,156.00,4.00,3.96,nan,3.72,0.25,17.52612114,20.12924004,18.45398903,20.58924294,19.17464828,27.51755333,0.00000019,38.80,8.64911175,30.24111557,11.10015202,12.73624325,12.20914173,28.08653450,19.60946655,28.79051971,20.64351273,19.09930420,27.33260345,0.00000021,0.55138558,-1.82981026,-2.38119578,110.92703247,0.00000000,-5.20096636,-16.09031868,-10.88935184,4.38471365,0.28,3.15,
-6.59,3.93,19.00,0.79,109.00,156.00,6.00,2.35,nan,20.91,0.59,4.67217016,3.18642426,4.76494265,3.57712007,4.05016422,82.81887054,0.00000000,4.72,2.36762667,6.15352964,4.55747223,3.79580331,4.25906324,4.46598005,4.02429771,4.16449404,3.56480575,4.14619112,85.87850189,0.00000000,-1.00424325,-1.07024860,-0.06600544,0.14771432,0.70101192,2.55746651,2.31875134,-0.23871502,0.08658925,0.42,3.12,
-6.36,3.46,16.00,0.72,109.00,156.00,7.00,2.04,nan,15.94,0.62,4.57311964,3.03965116,5.04838753,3.94928217,4.15261030,55.04306412,0.00000000,5.94,3.35584521,4.39560366,4.12037182,4.58075047,4.62737131,3.90307951,4.35778952,4.35831928,3.96722651,4.18096590,54.44927216,0.00000000,-1.84324765,-1.53647363,0.30677408,3.30328369,0.07017699,-0.60904735,1.65964055,2.26868796,5.27969837,0.51,3.13,
-6.20,2.95,0.00,0.80,109.00,156.00,8.00,1.91,nan,16.53,0.62,3.54901552,3.62671804,4.45672321,3.72295666,3.83885336,49.91948700,0.00000000,5.77,3.20685673,2.83497787,3.12908077,5.15089178,4.51070976,3.98538399,4.27080059,3.89679384,3.73092151,3.85352230,49.61516953,0.00000000,-2.46542454,-2.14024448,0.32518017,4.03688812,0.04544546,-4.20006466,-2.94688725,1.25317752,1.83182228,0.56,3.15,
-8.30,6.22,19.00,0.77,109.00,157.00,3.00,5.11,nan,9.01,0.67,12.91026688,13.45537186,13.62077045,12.10726070,13.02341747,166.54444885,0.00000000,10.71,9.11409187,14.75440979,12.41895294,17.14369202,11.08663177,15.82337570,12.03958416,14.55956936,11.95762730,13.19767094,171.43951416,0.00000000,-0.03604348,-3.12831092,-3.09226727,147.01339722,0.00000000,3.93400145,-5.17515898,-9.10916042,28.93144798,0.18,3.10,
-7.19,5.63,21.00,0.86,109.00,157.00,4.00,3.88,nan,1.03,0.51,57.30152893,41.81785583,56.01679230,43.89234161,49.75712967,69.96382904,0.00000000,63.14,59.39860916,32.72654343,43.08042908,52.16070175,70.66056824,46.43610764,56.31798553,50.32737350,44.37597275,50.55875778,71.40112305,0.00000000,-0.17348374,-1.90802848,-1.73454463,84.70625305,0.00000000,5.78867579,-7.37338305,-13.16205883,0.33110186,0.34,3.03,
-5.99,4.04,17.00,0.81,109.00,157.00,6.00,1.95,nan,22.46,0.57,4.96213818,4.08798265,4.99261951,3.91892910,4.49041748,109.25968170,0.00000000,4.56,3.60536718,3.80026150,4.12426710,5.81014585,5.13187408,4.82205439,4.91102695,5.32521343,3.93896937,4.60307884,113.51712799,0.00000000,-1.29203498,-0.84346306,0.44857192,6.18540478,0.01344510,-4.19887161,-0.40203333,3.79683805,28.80692101,0.45,3.04,
-5.78,3.69,16.00,0.74,109.00,157.00,7.00,1.67,nan,17.65,0.63,4.90708017,4.56370831,4.23743820,3.98293233,4.42279005,64.19408417,0.00000000,5.86,2.50085497,4.03077412,5.86614990,3.85646081,5.16038084,4.61482191,4.74443245,6.63711834,4.06310463,4.60362482,69.44119263,0.00000000,-1.95551336,-1.26290274,0.69261074,14.17955017,0.00020131,-4.31974936,-0.96733201,3.35241723,11.29804707,0.51,3.13,
-5.66,3.34,17.00,0.83,109.00,157.00,8.00,1.54,nan,16.31,0.52,3.25356102,2.40931249,3.68371081,3.12793398,3.11862969,31.51022911,0.00000003,5.90,1.87698257,4.69086361,3.51457357,3.66248989,2.53620100,3.37043095,2.89404345,2.32624722,3.09083295,3.10385585,30.79252625,0.00000004,-2.48748446,-1.85654962,0.63093483,12.34892082,0.00051197,0.95384794,3.28043866,2.32659054,4.82364893,0.56,3.15,
-6.45,5.59,0.00,0.89,109.00,158.00,4.00,3.34,nan,7.57,0.61,14.63665295,10.78334618,10.47614670,11.52778912,11.85598373,91.08711243,0.00000000,13.19,9.86443138,16.14799690,12.12147999,11.22601032,11.10860062,12.84145260,8.67875290,13.73415375,11.32433605,11.88224125,90.06044006,0.00000000,-0.67846894,-1.98900318,-1.31053424,61.86186600,0.00000000,3.62817073,4.05109167,0.42292109,0.05337697,0.34,3.03,
