x,y,z,d,xv,yv,zv,scale_xy_dist,t1,snr,acf_fwhm,orth,iso0,iso90,sur,task all,task F,task p-val,stdev_xerrts,0,23,45,67,90,112,135,157,NULL,theta all,theta F,tgt_theta p-val,sur.1,ctr,ctr-sur,ctr-sur F,loc p-val,sur_unwarp,ctr_unwarp,ctr-sur_unwarp,ctr-sur_unwarp F,polar_angle,eccentricity,Subject ID,Visual Region,Subregion,hemi,xy_dist,ellipse_a,ellipse_b,ellipse_theta,ellipse_comX,ellipse_comY,d_norm,no_vein,sig,iso0_loc,in_tgt,d_bin,all depths,odss,fgm,dsi,iso-sur,ctr-iso0
1.37,4.55,0.0,0.78,111.0,161.0,12.0,2.71,172.0,7.49,0.63,18.10277176,9.59649086,10.47403908,13.77880096,12.98802567,74.9475174,0.0,15.04,10.29189777,16.18191338,12.71429443,7.36245823,17.90113068,9.06832314,16.46414566,10.33516407,13.63911915,12.64938736,68.86978912,0.0,0.38754055,-1.27545202,1.65916752,37.5160408,0.0,2.06074286,3.71991038,1.65916765,0.63946581,1.28,1.85,pnr143,V1,tgt,lh,3.3934216604553917,1.833674601252122,1.2940758647963648,0.8242407188029675,1.2071078431372548,1.1604901960784313,0.8152173913043479,True,True,-4.1823101000000005,False,6,True,7.628732679999999,0.8775482200000013,8.5062809,-4.1823101000000005,7.90222048
3.48,4.51,0.0,0.86,111.0,162.0,8.0,2.92,152.0,7.27,0.72,-1.03987098,2.03709269,6.26966953,1.50615501,2.19326162,1.93050563,0.16504449,15.83,-4.04550457,7.68918467,-4.10840559,9.80281067,7.07404041,0.31090823,-3.27536798,6.59498167,1.10202253,2.34705853,2.22552204,0.1360968,-0.25070941,-0.65728182,-0.41670131000000055,1.9295373,0.16592882,-4.51426268,-4.93096399,-0.41670141,0.04941611,1.1,1.93,pnr143,V1,tgt,lh,4.047870388648195,1.833674601252122,1.2940758647963648,0.8242407188029675,1.2071078431372548,1.1604901960784313,0.9021739130434783,True,False,0.5309376800000001,False,6,True,-7.30954051,4.23257684,-3.07696367,0.5309376800000001,-5.4619016700000005
3.21,4.65,0.0,0.72,111.0,162.0,9.0,2.93,159.0,9.14,0.75,5.68498039,6.50541735,7.47543573,1.69008243,5.33897924,17.75034523,2.771e-05,12.71,2.96282077,8.45573044,0.91845798,11.01419163,6.70855665,5.54423285,1.13423526,15.92223263,1.44359922,6.00555038,23.13138008,1.77e-06,0.43592274,0.46065974,-0.2318745,0.00842757,0.92692212,0.04227464,-0.18959986,-0.2318745,0.02124628,1.15,1.86,pnr143,V1,tgt,lh,4.023463143075508,1.833674601252122,1.2940758647963648,0.8242407188029675,1.2071078431372548,1.1604901960784313,0.75,True,True,4.81533492,False,5,True,-1.7904553400000003,0.97001838,-0.8204369600000003,4.81533492,-5.00493478
2.74,4.76,0.0,0.67,111.0,162.0,10.0,2.9,156.0,8.54,0.74,14.3242588,8.10670948,7.4504199,7.45673084,9.33452988,54.01245499,0.0,12.73,13.86779213,6.2445302,5.41036463,7.34258556,10.48261642,11.42429924,10.18017197,14.59895802,7.41167831,9.65289307,56.23495102,0.0,0.77982026,0.80905008,6.088343150000001,0.0132776,0.90834783,2.15894079,8.24728394,6.08834314,15.7816906,1.15,1.86,pnr143,V1,tgt,lh,3.9123176242604343,1.833674601252122,1.2940758647963648,0.8242407188029675,1.2071078431372548,1.1604901960784313,0.6956521739130436,True,True,0.6499786399999996,False,5,True,6.873838900000001,-0.6562895799999993,6.217549320000002,0.6499786399999996,7.597305300000001
2.17,4.92,13.0,0.66,111.0,162.0,11.0,2.97,162.0,9.22,0.71,20.11184883,12.81359673,14.97897243,15.65203667,15.88911343,208.56860352,0.0,11.03,14.35178089,15.51543808,15.03982353,11.61091137,13.14519215,17.86086655,22.1168499,18.16699028,15.6132679,15.91974449,204.22183228,0.0,0.81255001,0.20805678,-3.00257588,6.06071663,0.01443377,15.64575005,12.64317417,-3.00257492,4.20534658,1.2,1.81,pnr143,V1,tgt,lh,3.880860120067481,1.833674601252122,1.2940758647963648,0.8242407188029675,1.2071078431372548,1.1604901960784313,0.6847826086956522,True,True,-2.838439939999999,False,5,True,5.132876399999999,2.1653757000000002,7.298252099999999,-2.838439939999999,15.481614109999999
1.69,5.09,0.0,0.66,111.0,162.0,12.0,3.12,177.0,8.5,0.61,21.18325043,14.36002827,13.74890709,16.00738335,16.32489204,220.69129944,0.0,11.02,13.1203661,14.59135628,11.8579855,16.01026917,17.70805168,18.08903694,19.78323555,19.17899132,15.74779034,16.21566582,208.89675903,0.0,0.61608922,-1.31791508,-5.9586190000000006,56.7376442,0.0,4.01038885,-1.94823015,-5.95861912,15.57306004,1.24,1.79,pnr143,V1,tgt,lh,3.959069604626228,1.833674601252122,1.2940758647963648,0.8242407188029675,1.2071078431372548,1.1604901960784313,0.6847826086956522,True,True,-1.6473550800000005,False,5,True,7.434343340000002,-0.6111211800000014,6.82322216,-1.6473550800000005,-0.3008750699999996
0.31,5.64,19.0,0.85,111.0,162.0,15.0,3.89,174.0,19.2,0.68,6.4058423,4.53895235,5.00585175,6.21794653,5.54214811,129.23983765,0.0,4.89,4.44873333,4.67460871,4.38845825,4.20656824,4.9549551,8.45664787,4.96523762,6.55028152,6.13098717,5.41418886,122.12521362,0.0,0.14280172,-4.56457615,-0.6029893100000001,251.30621338,0.0,2.00413823,1.40114892,-0.60298926,0.53557289,0.0,0.0,pnr143,V1,tgt,lh,4.568458226321854,1.833674601252122,1.2940758647963648,0.8242407188029675,1.2071078431372548,1.1604901960784313,0.8913043478260869,True,True,-1.6789941800000001,False,6,True,1.39999055,0.46689939999999996,1.86688995,-1.6789941800000001,3.0801431
3.82,5.04,0.0,0.83,111.0,163.0,8.0,3.41,156.0,9.71,0.73,28.47701836,18.27500725,21.01975632,20.94384956,22.17890739,358.37127686,0.0,11.75,17.84019089,22.26609612,24.23627472,17.60166168,20.95215607,25.10206795,32.2767067,19.72251701,20.80429268,22.28901863,353.56866455,0.0,-0.14640892,-1.15657949,-1.5748310100000005,12.01873779,0.00061066,9.69249821,8.1176672,-1.57483101,1.75946939,0.0,0.0,pnr143,V1,tgt,lh,4.67737124270871,1.833674601252122,1.2940758647963648,0.8242407188029675,1.2071078431372548,1.1604901960784313,0.8695652173913043,True,True,-2.6688423099999987,False,6,True,7.45726204,2.7447490699999975,10.202011109999997,-2.6688423099999987,10.786509509999998
3.53,5.15,15.0,0.65,111.0,163.0,9.0,3.38,152.0,11.25,0.77,13.92339611,12.19547653,14.45917988,13.79103661,13.59227276,251.16912842,0.0,8.6,8.75220394,16.0708046,12.01272297,13.04501247,14.95353317,13.72770691,14.95860958,14.67791653,13.61816788,13.52165127,246.27766418,0.0,0.24818572,-0.42664561,-0.8039128800000004,6.20104551,0.01335601,-3.53051972,-4.3344326,-0.80391276,0.4448477,1.09,1.79,pnr143,V1,tgt,lh,4.616493956240036,1.833674601252122,1.2940758647963648,0.8242407188029675,1.2071078431372548,1.1604901960784313,0.6739130434782609,True,True,-1.5955600800000003,False,5,True,-0.5357837700000001,2.26370335,1.72791958,-1.5955600800000003,-2.73887252
3.02,5.32,0.0,0.59,111.0,163.0,10.0,3.38,150.0,10.98,0.76,10.36502743,7.70480299,10.83188248,9.6918869,9.64839935,156.30274963,0.0,7.74,6.73199987,12.7558279,7.95459747,11.50946236,8.4420681,8.90735054,8.30013943,12.80242157,9.52060795,9.64861679,155.17243958,0.0,0.39568064,-0.29008332,-0.06339073000000006,7.05020142,0.0083862,-8.68410683,-8.74749756,-0.06339064,0.00220482,1.09,1.79,pnr143,V1,tgt,lh,4.5374111320591295,1.833674601252122,1.2940758647963648,0.8242407188029675,1.2071078431372548,1.1604901960784313,0.6086956521739131,True,True,-1.98708391,False,4,True,-0.46685505000000127,3.1270794900000007,2.6602244399999995,-1.98708391,-6.760413649999999
